,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ASIC1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ASXL1,1.4844829,-0.02188808,0.75322,0.6566735,-0.01905277,-0.007773477,0.5753469,2.1570115,-0.027087979,-0.03268476,-0.0004163435,2.2745783,1.1223823,1.4574858,-0.0007505983,-0.00036278635
ATAD3B,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATF7IP2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATG16L1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATG4D,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATN1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATP1A3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATP1B2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATP2A3,1.3396465,-0.023580937,0.7509962,0.66734135,-0.020699682,-0.009167733,0.6626581,2.2878432,-0.02752281,-0.03304971,-0.0019281758,2.356728,1.3630004,1.5420486,-0.00024037166,-0.0012737679
ATP6V1H,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATP8B2,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
ATP9A,1.5046868,-0.021733219,0.8811911,0.7689369,-0.01877653,-0.009070712,0.5666421,2.1968246,-0.028077228,-0.031377513,-0.0031115457,2.233477,1.2062994,1.5893044,-0.0007109964,-0.0024455206
ATXN2-AS,1.4012469,-0.023200698,0.8177106,0.66221416,-0.020660646,-0.008795722,0.6483879,2.2673604,-0.028187595,-0.033784505,-0.0018746037,2.2989755,1.2971774,1.4900368,-0.00041457056,-0.0013077301
ATXN7L3B,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AVP,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AXDND1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AXIN1,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
AXL,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
B3GLCT,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
B4GALNT3,1.4125849,-0.023292638,0.8017308,0.64857644,-0.020635482,-0.008703591,0.6392245,2.2677834,-0.02821476,-0.03378276,-0.0018338348,2.3194308,1.3187,1.4833907,-0.0003936064,-0.0011665588
